nome_join;Name;Win %;Pick %;Ban %;patch
aatrox;Aatrox;46.34;16.25;8.94;2608
ahri;Ahri;43.6;23.8;5.69;2608
akali;Akali;44.15;19.7;19.7;2608
akshan;Akshan;44.31;6.67;3.45;2608
alistar;Alistar;46.78;8.24;1.66;2608
ambessa;Ambessa;48.05;19.88;16.9;2608
amumu;Amumu;47.22;5.25;1.2;2608
anivia;Anivia;46.72;12.48;4.95;2608
annie;Annie;48.58;7.12;0.79;2608
aphelios;Aphelios;43.22;9.85;2.61;2608
ashe;Ashe;44.91;29.18;6.52;2608
aurelionsol;Aurelion Sol;49.88;8.17;1.26;2608
aurora;Aurora;42.36;10.46;2.81;2608
azir;Azir;39.62;5.44;0.36;2608
bard;Bard;43.39;13.99;3.66;2608
belveth;Bel'Veth;46.83;4.13;3.64;2608
blitzcrank;Blitzcrank;37.55;9.95;11.25;2608
brand;Brand;51.21;10.06;2.32;2608
braum;Braum;37.61;11.28;9.84;2608
briar;Briar;46.74;11.24;11.22;2608
caitlyn;Caitlyn;45.05;32.64;27.23;2608
camille;Camille;48.38;8.25;1.11;2608
cassiopeia;Cassiopeia;49.94;4.37;1.26;2608
chogath;Cho'Gath;48.35;7.07;0.63;2608
corki;Corki;44.67;7.77;0.7;2608
darius;Darius;47.27;15.9;14.46;2608
diana;Diana;47.39;15.15;5.14;2608
draven;Draven;44.28;10.38;16.91;2608
drmundo;Dr. Mundo;46.25;10.9;6.4;2608
ekko;Ekko;48.45;14.7;2.54;2608
elise;Elise;51.7;8.08;2.05;2608
evelynn;Evelynn;47.03;5.11;2.83;2608
ezreal;Ezreal;41.9;37.55;9.31;2608
fiddlesticks;Fiddlesticks;51.63;7.19;1.99;2608
fiora;Fiora;47.43;8.05;6.1;2608
fizz;Fizz;46.07;11.67;5.79;2608
galio;Galio;44.73;8.46;1.54;2608
gangplank;Gangplank;42.04;9.06;3.58;2608
garen;Garen;41.4;18.96;9.55;2608
gnar;Gnar;43.71;9.09;1.63;2608
gragas;Gragas;48.01;6.7;0.69;2608
graves;Graves;45.58;27.34;21.31;2608
gwen;Gwen;53.58;7.35;4.21;2608
hecarim;Hecarim;32.66;7.98;3.73;2608
heimerdinger;Heimerdinger;49.08;3.17;1.31;2608
hwei;Hwei;47.08;11.94;2.23;2608
illaoi;Illaoi;39.13;4.75;3.78;2608
irelia;Irelia;42.52;14.35;14.29;2608
ivern;Ivern;49.35;3.05;0.46;2608
janna;Janna;47.19;8.73;1.04;2608
jarvaniv;Jarvan IV;46.79;15.59;1.94;2608
jax;Jax;48.5;15.84;13.05;2608
jayce;Jayce;46.98;12.34;5.13;2608
jhin;Jhin;46.03;32.96;1.66;2608
jinx;Jinx;46.07;27.88;4.67;2608
kaisa;Kai'Sa;44.85;28.91;2.12;2608
kalista;Kalista;51.77;3.06;0.23;2608
karma;Karma;45.55;22.09;10.1;2608
karthus;Karthus;49.6;4.75;1.37;2608
kassadin;Kassadin;42.53;6.24;3.94;2608
katarina;Katarina;47.69;14.83;11.3;2608
kayle;Kayle;48.01;8.6;4.99;2608
kayn;Kayn;48.27;12.62;3.79;2608
kennen;Kennen;46.17;5.0;1.86;2608
khazix;Kha'Zix;53.91;10.77;4.72;2608
kindred;Kindred;47.82;5.03;1.84;2608
kled;Kled;47.88;3.87;0.82;2608
kogmaw;Kog'Maw;50.98;4.43;0.49;2608
ksante;K'Sante;48.08;7.4;2.12;2608
leblanc;LeBlanc;45.57;10.29;14.84;2608
leesin;Lee Sin;46.27;25.72;12.64;2608
leona;Leona;41.96;12.7;6.26;2608
lillia;Lillia;44.98;7.04;2.21;2608
lissandra;Lissandra;47.03;12.73;3.17;2608
lucian;Lucian;44.98;19.79;3.25;2608
lulu;Lulu;45.48;21.88;10.74;2608
lux;Lux;47.05;20.23;2.78;2608
malphite;Malphite;48.0;16.54;19.63;2608
malzahar;Malzahar;45.62;15.0;9.52;2608
maokai;Maokai;48.77;6.0;0.2;2608
masteryi;Master Yi;48.33;15.06;15.74;2608
mel;Mel;42.62;13.67;33.72;2608
milio;Milio;43.22;15.71;6.29;2608
missfortune;Miss Fortune;42.27;14.07;1.22;2608
mordekaiser;Mordekaiser;47.03;12.04;7.48;2608
morgana;Morgana;50.24;9.93;15.26;2608
naafiri;Naafiri;48.52;18.72;23.69;2608
nami;Nami;38.21;31.79;4.69;2608
nasus;Nasus;47.74;9.97;4.77;2608
nautilus;Nautilus;47.01;19.84;13.96;2608
neeko;Neeko;48.96;5.25;1.26;2608
nidalee;Nidalee;48.28;5.37;1.13;2608
nilah;Nilah;48.17;3.05;2.99;2608
nocturne;Nocturne;44.85;16.66;14.49;2608
nunu;Nunu & Willump;44.9;5.41;0.71;2608
olaf;Olaf;50.11;5.57;2.31;2608
orianna;Orianna;38.17;9.54;1.19;2608
ornn;Ornn;48.12;11.01;0.96;2608
pantheon;Pantheon;48.67;14.79;1.65;2608
poppy;Poppy;50.41;6.46;2.99;2608
pyke;Pyke;45.27;12.41;25.71;2608
qiyana;Qiyana;50.29;7.24;2.09;2608
quinn;Quinn;47.8;3.05;0.81;2608
rakan;Rakan;52.01;6.82;0.3;2608
rammus;Rammus;48.3;3.96;3.59;2608
reksai;Rek'Sai;47.88;5.39;1.75;2608
rell;Rell;47.75;6.99;0.97;2608
renata;Renata Glasc;46.14;2.15;0.13;2608
renekton;Renekton;36.82;12.8;4.55;2608
rengar;Rengar;49.7;9.18;9.89;2608
riven;Riven;49.55;7.77;2.66;2608
rumble;Rumble;47.5;5.82;1.68;2608
ryze;Ryze;43.61;8.43;0.89;2608
samira;Samira;44.08;10.41;7.1;2608
sejuani;Sejuani;48.21;4.56;0.18;2608
senna;Senna;47.9;16.75;1.47;2608
seraphine;Seraphine;45.86;15.32;1.7;2608
sett;Sett;47.17;11.22;2.63;2608
shaco;Shaco;45.23;10.44;15.93;2608
shen;Shen;51.63;13.37;2.97;2608
shyvana;Shyvana;44.19;10.26;7.78;2608
singed;Singed;47.6;5.64;0.84;2608
sion;Sion;49.6;13.45;1.26;2608
sivir;Sivir;37.62;9.44;3.18;2608
skarner;Skarner;44.91;2.92;0.21;2608
smolder;Smolder;41.29;23.98;6.72;2608
sona;Sona;45.78;8.75;0.65;2608
soraka;Soraka;45.3;12.41;3.02;2608
swain;Swain;47.63;10.96;2.62;2608
sylas;Sylas;48.32;26.29;12.0;2608
syndra;Syndra;43.85;10.82;3.17;2608
tahmkench;Tahm Kench;49.77;8.79;1.7;2608
taliyah;Taliyah;48.31;4.97;0.36;2608
talon;Talon;44.48;13.68;6.77;2608
taric;Taric;46.89;2.86;0.29;2608
teemo;Teemo;47.95;7.92;3.74;2608
thresh;Thresh;41.73;27.72;8.2;2608
tristana;Tristana;45.06;9.13;1.21;2608
trundle;Trundle;47.09;3.49;0.28;2608
tryndamere;Tryndamere;48.78;6.59;1.79;2608
twistedfate;Twisted Fate;47.55;10.72;1.0;2608
twitch;Twitch;45.33;11.55;7.62;2608
udyr;Udyr;46.59;5.25;0.98;2608
urgot;Urgot;45.96;5.71;0.85;2608
varus;Varus;44.64;11.3;3.24;2608
vayne;Vayne;49.04;22.83;12.89;2608
veigar;Veigar;46.5;11.52;1.39;2608
velkoz;Vel'Koz;48.49;9.67;1.3;2608
vex;Vex;45.21;6.17;3.56;2608
vi;Vi;48.63;10.01;1.42;2608
viego;Viego;47.12;20.96;10.69;2608
viktor;Viktor;51.59;15.03;4.29;2608
vladimir;Vladimir;45.98;11.69;4.92;2608
volibear;Volibear;47.94;10.09;2.51;2608
warwick;Warwick;45.31;6.31;0.96;2608
wukong;Wukong;49.09;6.17;0.52;2608
xayah;Xayah;40.7;7.8;0.71;2608
xerath;Xerath;44.25;18.38;7.26;2608
xinzhao;Xin Zhao;47.35;11.87;1.95;2608
yasuo;Yasuo;44.6;23.91;18.97;2608
yone;Yone;44.27;19.8;4.24;2608
yorick;Yorick;45.33;7.43;6.56;2608
yunara;Yunara;46.22;15.47;2.91;2608
yuumi;Yuumi;42.27;11.65;7.15;2608
zaahen;Zaahen;45.43;9.64;5.32;2608
zac;Zac;50.64;6.87;1.34;2608
zed;Zed;48.09;20.24;22.76;2608
zeri;Zeri;45.96;4.14;0.17;2608
ziggs;Ziggs;43.31;5.35;0.44;2608
zilean;Zilean;50.82;7.1;1.69;2608
zoe;Zoe;45.18;9.74;6.61;2608
zyra;Zyra;50.35;8.56;2.84;2608
